units_sold,badges_count,shipping_option_price,inventory_total,has_urgency_banner,merchant_info_subtitle,product_id,uses_ad_boosts
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(568 notes)',5e9ae51d43d6a96e303acdb0,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (59,903 notes)',5cd3e32fd908537780580e43,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (16,487 notes)',5c90908b8625751a972408f1,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (1,055 notes)',5e5f507c931bd44190563aa1,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','83 \% avis positifs (1,322 notes)',5ccd341e8cc067595fcba7c4,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','90 \% avis positifs (6,357 notes)',5b6270648aa701441eaab44f,1
'\'(6.907155-6.910279]\'','\'(0.992962-1.014053]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (126,370 notes)',5e16cb87e6dd7c03be24b28a,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','81 \% avis positifs (2,127 notes)',5c8f86e0f842ba52b8c19009,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (33,839 notes)',55acbdf8ed44704872df93e2,0
'\'(2.29756-2.456275]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','85 \% avis positifs (27,175 notes)',5eccb8aa18e87d64f13e012c,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','81 \% avis positifs (18,138 notes)',5e5f56ea3dbe9d00474f503f,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','85 \% avis positifs (104 notes)',5e6f204282e6d6b567d051d7,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','83\% положительных отзывов (5,083 рейтинг)',5ae9344787ff841c9ab69b79,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','84 \% avis positifs (1,047 notes)',5dfd9633ddee91057e0018d2,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (20,681 notes)',593fb0c99a2eee2bb40cee61,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','89 \% avis positifs (246,312 notes)',5aa8cd7b2c3a22301d352e25,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (12,919 notes)',5ebf573c45f8f02b2539663b,1
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (14,553 notes)',58d5c37dd3af5b54ebb74d56,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (5,534 notes)',5cc5363ab90e2b5649a53b80,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','83 \% avis positifs (8,563 notes)',5d1cbf16231caf5ee5f61593,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (16,447 notes)',5b07af657c3f11160f8bb7d9,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','89 \% avis positifs (57 notes)',5edb2db0fcc85c2e12014395,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','86 \% avis positifs (7,356 notes)',5cedf538a1e74b7cfd5974ab,0
'\'(-inf-2.29756]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','80 \% avis positifs (626 notes)',5eb2200b989caa081980b812,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','80 \% avis positifs (3,762 notes)',5e8695172124351e6192bcf5,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(10,600 notes)',5e8d7d681db40e4c921cc994,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(36 notes)',5e3e1e80659f9c012d05e35c,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (4,178 notes)',5cff1056c76d52288fac419d,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (1,047 notes)',5dfd9633ddee91057e0018d2,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (139,788 notes)',5ec5fba4a6e08e12f03e460e,1
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (4,336 notes)',5a748120dc0c28764634ccfe,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (12,309 notes)',5d0b0ac9fdbec0744e2584a9,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','80 \% avis positifs (9,678 notes)',5d6f980190bd5f5694d25a6d,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (5,995 notes)',5cdbb7300ffb0e5faa5d5d63,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','83 \% avis positifs (5,816 notes)',5cedf93ac0baab7389f4ccd7,1
'\'(2.456275-4.618199]\'','\'(0.992962-1.014053]\'','\'(4.968891-inf)\'','\'(-inf-33]\'','\'(-inf-0.000077]\'','90 \% avis positifs (29,977 notes)',5d09ecc2f5d4eb7721203368,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','59 \% avis positifs (231 notes)',5eb5268448db4b2032243489,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','91 \% avis positifs (8,443 notes)',5ed9bcfdaaa2b81d9c991b83,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(3,060 notes)',5ea8cfb44e671a04ca0e5b79,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(4.968891-inf)\'','\'(33-inf)\'','\'(-inf-0.000077]\'','80\% Feedback positivo (18,762 classificações)',5def3c02b8bdac0102daa099,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(4.968891-inf)\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (8,117 notes)',5d2fca68d4465c17e6206de7,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(1,078 notes)',5b12401145089b206d7a455e,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(2,044 notes)',5ccaadf547634f48ae1daf8c,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (7,328 notes)',5da42681410d480fbb13c9db,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(4.968891-inf)\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (4,107 notes)',5c0a0eab7721f07320bdacd0,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','71 \% avis positifs (942 notes)',5e60a7a59c6112c4c01a2ded,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(66,644 notes)',5edf07e70b313014b48a7450,1
'\'(9.208853-9.211215]\'','\'(0.992962-1.014053]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(0.999647-inf)\'','92 \% avis positifs (17,621 notes)',593e59811897c53b972f5dc7,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (17,120 notes)',5d32ae384c901a2f6263384d,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (32,858 notes)',5aea67918a743b21013e41f6,0
'\'(-inf-2.29756]\'','\'(-inf-0.002146]\'','\'(4.968891-inf)\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(693 notes)',5f11698e9a44cd5ecd1909db,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(5,226 notes)',5ccfa41e35af5c46c0bbad64,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (14,275 notes)',5c9b5efc65b4b3700cd6c679,1
'\'(2.456275-4.618199]\'','\'(0.992962-1.014053]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(3,520 notes)',5e71b033d9b4ac3bfee4274f,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (55,499 notes)',5cdfa97c034a3c0f3af1bfd1,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (51,369 notes)',5ccfc1718249575e0f776a12,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','76 \% avis positifs (254 notes)',5ed9de39b6befd33de8dd908,1
'\'(2.29756-2.456275]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','33 \% avis positifs (3 notes)',5ed4cabd34f3329741e8c3ee,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(88,193 notes)',5ea8dcee238ae108c8a57aa1,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','88 \% avis positifs (5,914 notes)',5c8aa4b8571dc27f6022a29a,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','84 \% avis positifs (4,019 notes)',5d523b41dc07526635f3ae75,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','91 \% avis positifs (3,396 notes)',5b61a98ba3839047d010fd62,1
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (9,492 notes)',5b31e341ec739662f2bd71ab,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (3,668 notes)',5e047ffa271ecb01ce39ae76,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','82 \% avis positifs (519 notes)',5e6f1aa7c182c5b14b486f9d,1
'\'(2.29756-2.456275]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','70 \% avis positifs (46 notes)',5eeef4c4066647a9388a8ac2,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (13,665 notes)',5953892749a5f7756941171f,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','79 \% avis positifs (111 notes)',5ea8f0eb3f8a650a4227f717,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','90 \% avis positifs (15,551 notes)',5d2823d9afa40277f9dcd92d,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','91 \% avis positifs (5,808 notes)',5ba4f816c1a38516a0cb12d9,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (27,175 notes)',5a6af94ffb04de342fa3ff8b,1
'\'(6.907155-6.910279]\'','\'(0.992962-1.014053]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','89 \% avis positifs (904 notes)',5c83278c6b39e64d6c16c907,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (9,177 notes)',5c874bffc7901e40dcb53cd2,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (3,117 notes)',5e4ce8cc2ce2e50680cee732,0
'\'(6.907155-6.910279]\'','\'(0.992962-1.014053]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','94 \% avis positifs (27,740 notes)',591e8dcf49043a6ea25b1a31,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(66,644 notes)',5e6079792389e6a7ef176eed,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(12,309 notes)',5d00ccdde1fe9971cb8aef7a,1
'\'(-inf-2.29756]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(6,348 notes)',5eec6643d6854068e20df558,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','80 \% avis positifs (105,015 notes)',5d82f19340367911da1b9ee7,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','80 \% avis positifs (21,842 notes)',5e6885a8835b431211cdcd46,1
'\'(2.456275-4.618199]\'','\'(1.014053-inf)\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','91 \% avis positifs (794 notes)',5d0729b0f945bd59ac54b329,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','79 \% avis positifs (28 notes)',5e9afadf98c04211c179fcf4,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (1,335 notes)',5c78989a826e994cd3bdab97,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','83 \% avis positifs (32,168 notes)',5e913de867b78002c07d5ff9,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(38,985 notes)',5de22bd604954c94ec9b6c99,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(90,105 notes)',5d5bb89494613054c04a2e21,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (25,356 notes)',5b1371ddd068ec1ed5ebabd1,1
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (8,821 notes)',5b0386696040cc41f2331c83,0
'\'(9.208853-9.211215]\'','\'(0.992962-1.014053]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','91 \% avis positifs (22,765 notes)',5954c8008329cb74b77e81e6,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','85 \% avis positifs (25,222 notes)',5eb4dd169263020a42be1a88,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','80 \% avis positifs (3,245 notes)',5e7ee69fa9d2ef00550fedaf,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','83 \% avis positifs (17,738 notes)',5d08893ebcf6877edd051a36,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (366 notes)',5ec4d24b21c01ee2d6dfb50e,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','95 \% avis positifs (537 notes)',5a93ab421c6def23e6f0c878,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (5,654 notes)',5dd372bed0d2f061a0c6fdea,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(12,476 notes)',5b5815ff4092766d7dbafc3f,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (42,919 notes)',5d48ec8f6b0dcd5cb0c6265b,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(37,956 notes)',5baf1d26c48bce0b1c46014b,0
'\'(6.907155-6.910279]\'','\'(0.992962-1.014053]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (9,002 notes)',5cfdbe0fba8cc019629e36f6,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(18,831 notes)',5c6a62559d67d46bb6ce5d70,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(0.999647-inf)\'','88 \% avis positifs (59,903 notes)',5cd3e32fd908537780580e43,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(3,769 notes)',5ed213d6342ca33d87fe2ea4,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (4,632 notes)',5aed1470e9b72317ade10c19,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','85 \% avis positifs (73,271 notes)',5d1c8ce7d9ebfb1a55989de8,1
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','78 \% avis positifs (3,566 notes)',5d178f2c35678a26633c3bff,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','82 \% avis positifs (9,177 notes)',5c9f216de87867207c7ac74b,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','91 \% avis positifs (1,309 notes)',5ed8ea0b974ab76e85fb3459,1
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(35,679 notes)',5c876f5b122fda4ffb5246d0,1
'\'(2.456275-4.618199]\'','\'(0.992962-1.014053]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','93 \% avis positifs (3,276 notes)',5cbe81430aa3a4566e6ee369,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','81 \% avis positifs (3,771 notes)',5c8a16b5cb281923bc848d20,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (7,627 notes)',5c7e67e703cdc34ae8bd45a1,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(-inf-1.0053]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','90 \% avis positifs (2,707 notes)',5e4e29ed8753cc326396fbec,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','88 \% avis positifs (3,218 notes)',5d82f2852a8c735a7daa3e55,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (2,505 notes)',5d0c7fda142e760e3b414d74,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(14,974 notes)',5d170abbc3b82d2ca527b409,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','84 \% avis positifs (36,361 notes)',5c36e83cc7d0216a7835b7a1,0
'\'(9.208853-9.211215]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','93 \% avis positifs (16,091 notes)',5a694c37a5419b68016bcb1c,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','91 \% avis positifs (30,225 notes)',5957163634bd9170cd0f7502,0
'\'(9.899354-inf)\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(0.999647-inf)\'','88 \% avis positifs (55,670 notes)',5cbd345663e9171f9180b06d,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(0.999647-inf)\'','84 \% avis positifs (139,223 notes)',5cece16810467a5f254abaa9,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','89 \% avis positifs (360 notes)',5eb7863e696078086baec0ab,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (2,076 notes)',5e815f84532ff786c0d6190a,0
'\'(2.456275-4.618199]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','73 \% avis positifs (138 notes)',5ef0ef11f30aba4e22166d4b,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','(3,566 notes)',5d3b25b59416e5223a1e30c1,0
'\'(8.514816-8.519045]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(0.999647-inf)\'','(5,534 notes)',5cd6627aa116696ad5a74fe4,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(3.995775-4.004122]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','88 \% avis positifs (20,387 notes)',5d0334561d8cd85dc025691b,1
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(1.996401-2.000573]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','87 \% avis positifs (50,864 notes)',5c1b3c204f9bf4042395e823,0
'\'(6.907155-6.910279]\'','\'(-inf-0.002146]\'','\'(2.999816-3.006102]\'','\'(33-inf)\'','\'(-inf-0.000077]\'','86 \% avis positifs (38,985 notes)',58db2a4eca5fec55a2b176a8,0
